rules,support,confidence,lift,count
"{Houhai,Jingshan Park} => {Forbidden City}",0.03,1,5.882352941,3
"{Forbidden City,Houhai} => {Jingshan Park}",0.03,1,6.666666667,3
"{Houhai,Jingshan Park} => {Tiananmen Square}",0.03,1,4.761904762,3
"{Houhai,Tiananmen Square} => {Jingshan Park}",0.03,1,6.666666667,3
"{Forbidden City,Houhai} => {Tiananmen Square}",0.03,1,4.761904762,3
"{Houhai,Tiananmen Square} => {Forbidden City}",0.03,1,5.882352941,3
"{Peking University,Yuanmingyuan} => {Summer Palace}",0.06,0.666666667,4.166666667,6
"{Peking University,Summer Palace} => {Yuanmingyuan}",0.06,0.666666667,4.444444444,6
"{Summer Palace,Yuanmingyuan} => {Peking University}",0.06,0.545454545,4.195804196,6
"{Forbidden City,Jingshan Park} => {Tiananmen Square}",0.12,0.923076923,4.395604396,12
"{Jingshan Park,Tiananmen Square} => {Forbidden City}",0.12,0.923076923,5.429864253,12
"{Forbidden City,Tiananmen Square} => {Jingshan Park}",0.12,0.857142857,5.714285714,12
"{Ditan,Lama Temple,Temple of Heaven} => {Houhai}",0.03,1,11.11111111,3
"{Ditan,Houhai,Lama Temple} => {Temple of Heaven}",0.03,1,16.66666667,3
"{Ditan,Houhai,Temple of Heaven} => {Lama Temple}",0.03,1,25,3
"{Houhai,Lama Temple,Temple of Heaven} => {Ditan}",0.03,1,33.33333333,3
"{Forbidden City,Jingshan Park,Wangfujing} => {Tiananmen Square}",0.03,1,4.761904762,3
"{Jingshan Park,Tiananmen Square,Wangfujing} => {Forbidden City}",0.03,0.75,4.411764706,3
"{Forbidden City,Tiananmen Square,Wangfujing} => {Jingshan Park}",0.03,1,6.666666667,3
"{Forbidden City,Jingshan Park,Tiananmen Square} => {Wangfujing}",0.03,0.25,3.571428571,3
"{Chairman Mao Memorial Hall,Forbidden City,Jingshan Park} => {Tiananmen Square}",0.03,1,4.761904762,3
"{Chairman Mao Memorial Hall,Jingshan Park,Tiananmen Square} => {Forbidden City}",0.03,1,5.882352941,3
"{Chairman Mao Memorial Hall,Forbidden City,Tiananmen Square} => {Jingshan Park}",0.03,1,6.666666667,3
"{Forbidden City,Jingshan Park,Tiananmen Square} => {Chairman Mao Memorial Hall}",0.03,0.25,2.777777778,3
"{Forbidden City,Houhai,Jingshan Park} => {Tiananmen Square}",0.03,1,4.761904762,3
"{Houhai,Jingshan Park,Tiananmen Square} => {Forbidden City}",0.03,1,5.882352941,3
"{Forbidden City,Houhai,Tiananmen Square} => {Jingshan Park}",0.03,1,6.666666667,3
"{Forbidden City,Jingshan Park,Tiananmen Square} => {Houhai}",0.03,0.25,2.777777778,3
